id_10cell,n_crashes,n_parks_rec_properties
Area-9823,1,0
Area-9824,1,0
Area-9825,0,0
Area-9826,0,1
Area-9827,0,0
Area-9828,1,0
Area-9829,2,0
Area-9830,1,0
Area-9831,1,1
Area-9832,0,1
Area-9833,0,0
Area-9834,0,0
Area-9835,3,0
Area-9836,5,0
Area-9837,8,0
Area-9838,2,0
Area-9839,1,0
Area-9840,0,0
Area-9841,0,0
Area-9842,0,0
Area-9843,0,0
Area-9844,7,2
Area-9845,24,1
Area-9846,14,0
Area-9847,11,0
Area-9848,0,0
Area-9849,0,1
Area-9850,0,1
Area-9851,1,0
Area-9852,0,0
Area-9853,0,0
Area-9854,1,3
Area-9855,23,3
Area-9856,8,1
Area-9857,0,0
Area-9858,10,0
Area-9859,17,1
Area-9860,24,2
Area-9861,3,0
Area-9862,0,0
Area-9863,0,0
Area-9864,0,0
Area-9865,23,1
Area-9866,31,4
Area-9867,33,3
Area-9868,16,0
Area-9869,0,0
Area-9870,10,0
Area-9871,10,2
Area-9872,13,0
Area-9873,4,0
Area-9874,0,0
Area-9875,0,0
Area-9876,3,1
Area-9877,43,3
Area-9878,45,2
Area-9879,2,2
Area-9880,15,1
Area-9881,32,2
Area-9882,46,4
Area-9883,41,7
Area-9884,21,2
Area-9885,4,0
Area-9886,0,0
Area-9887,0,3
Area-9888,36,3
Area-9889,36,2
Area-9890,11,3
Area-9891,22,3
Area-9892,17,2
Area-9893,38,3
Area-9894,30,6
Area-9895,25,6
Area-9896,0,0
Area-9897,0,2
Area-9898,37,4
Area-9899,63,2
Area-9900,35,2
Area-9901,26,5
Area-9902,30,3
Area-9903,19,4
Area-9904,41,4
Area-9905,29,13
Area-9906,19,11
Area-9907,0,0
Area-9908,1,1
Area-9909,0,3
Area-9910,83,4
Area-9911,91,1
Area-9912,62,3
Area-9913,55,0
Area-9914,78,0
Area-9915,35,5
Area-9916,59,2
Area-9917,55,8
Area-9918,11,10
Area-9919,0,0
Area-9920,0,2
Area-9921,7,4
Area-9922,16,5
Area-9923,43,4
Area-9924,53,3
Area-9925,21,4
Area-9926,32,4
Area-9927,46,6
Area-9928,18,15
Area-9929,54,16
Area-9930,87,4
Area-9931,38,3
Area-9932,0,0
Area-9933,2,0
Area-9934,1,1
Area-9935,24,2
Area-9936,48,1
Area-9937,38,3
Area-9938,37,5
Area-9939,34,5
Area-9940,28,9
Area-9941,9,6
Area-9942,47,4
Area-9943,33,3
Area-9944,26,4
Area-9945,2,1
Area-9946,0,0
Area-9947,5,1
Area-9948,19,0
Area-9949,13,1
Area-9950,14,3
Area-9951,22,7
Area-9952,3,8
Area-9953,15,6
Area-9954,25,5
Area-9955,105,2
Area-9956,32,9
Area-9957,15,7
Area-9958,36,3
Area-9959,3,0
Area-9960,0,0
Area-9961,1,0
Area-9962,20,1
Area-9963,22,2
Area-9964,6,6
Area-9965,11,7
Area-9966,34,7
Area-9967,27,5
Area-9968,104,2
Area-9969,22,4
Area-9970,22,5
Area-9971,32,5
Area-9972,15,4
Area-9973,5,2
Area-9974,1,0
Area-9975,0,0
Area-9976,0,0
Area-9977,27,0
Area-9978,11,4
Area-9979,1,5
Area-9980,28,4
Area-9981,60,4
Area-9982,58,2
Area-9983,49,3
Area-9984,40,4
Area-9985,45,2
Area-9986,39,1
Area-9987,18,3
Area-9988,4,0
Area-9989,0,1
Area-9990,0,0
Area-9991,1,1
Area-9992,17,5
Area-9993,16,4
Area-9994,20,1
Area-9995,42,3
Area-9996,121,1
Area-9997,50,4
Area-9998,45,5
Area-9999,49,2
Area-10000,39,5
Area-10001,25,1
Area-10002,11,0
Area-10003,4,2
Area-10004,0,0
Area-10005,0,0
Area-10006,6,5
Area-10007,15,6
Area-10008,12,3
Area-10009,19,2
Area-10010,15,0
Area-10011,29,2
Area-10012,105,3
Area-10013,53,5
Area-10014,24,0
Area-10015,20,0
Area-10016,42,3
Area-10017,41,4
Area-10018,25,1
Area-10019,12,1
Area-10020,0,1
Area-10021,0,1
Area-10022,0,3
Area-10023,4,6
Area-10024,11,6
Area-10025,7,5
Area-10026,22,5
Area-10027,43,3
Area-10028,40,5
Area-10029,66,2
Area-10030,34,2
Area-10031,31,1
Area-10032,24,3
Area-10033,4,3
Area-10034,24,3
Area-10035,26,4
Area-10036,28,1
Area-10037,10,4
Area-10038,0,1
Area-10039,0,1
Area-10040,2,2
Area-10041,4,0
Area-10042,2,4
Area-10043,6,3
Area-10044,2,2
Area-10045,20,2
Area-10046,26,4
Area-10047,5,2
Area-10048,55,5
Area-10049,27,2
Area-10050,29,1
Area-10051,43,3
Area-10052,44,1
Area-10053,28,2
Area-10054,23,2
Area-10055,40,2
Area-10056,41,4
Area-10057,23,2
Area-10058,0,1
Area-10059,0,0
Area-10060,0,1
Area-10061,0,1
Area-10062,11,2
Area-10063,3,2
Area-10064,1,3
Area-10065,7,4
Area-10066,10,2
Area-10067,20,3
Area-10068,23,2
Area-10069,42,2
Area-10070,17,2
Area-10071,32,1
Area-10072,18,3
Area-10073,8,0
Area-10074,24,1
Area-10075,45,1
Area-10076,42,1
Area-10077,51,3
Area-10078,32,2
Area-10079,9,2
Area-10080,1,1
Area-10081,0,1
Area-10082,0,0
Area-10083,1,2
Area-10084,1,3
Area-10085,0,1
Area-10086,1,2
Area-10087,4,1
Area-10088,13,2
Area-10089,25,1
Area-10090,28,3
Area-10091,42,1
Area-10092,12,0
Area-10093,11,1
Area-10094,5,2
Area-10095,15,1
Area-10096,19,1
Area-10097,38,1
Area-10098,48,1
Area-10099,37,3
Area-10100,37,2
Area-10101,10,4
Area-10102,6,1
Area-10103,0,2
Area-10104,0,0
Area-10105,1,2
Area-10106,0,3
Area-10107,0,1
Area-10108,4,6
Area-10109,15,3
Area-10110,17,0
Area-10111,26,1
Area-10112,25,2
Area-10113,16,0
Area-10114,12,0
Area-10115,11,0
Area-10116,20,1
Area-10117,28,1
Area-10118,23,1
Area-10119,15,1
Area-10120,10,1
Area-10121,8,4
Area-10122,23,3
Area-10123,8,3
Area-10124,0,1
Area-10125,0,1
Area-10126,2,3
Area-10127,5,1
Area-10128,5,1
Area-10129,1,0
Area-10130,9,1
Area-10131,17,0
Area-10132,30,0
Area-10133,19,2
Area-10134,12,0
Area-10135,11,0
Area-10136,36,3
Area-10137,22,2
Area-10138,17,4
Area-10139,21,5
Area-10140,28,4
Area-10141,4,3
Area-10142,3,3
Area-10143,0,0
Area-10144,3,0
Area-10145,0,0
Area-10146,2,1
Area-10147,0,0
Area-10148,5,2
Area-10149,10,2
Area-10150,2,1
Area-10151,6,1
Area-10152,15,1
Area-10153,9,2
Area-10154,6,1
Area-10155,11,1
Area-10156,13,4
Area-10157,8,3
Area-10158,0,1
Area-10159,4,3
Area-10160,4,3
Area-10161,1,1
Area-10162,18,1
Area-10163,33,0
Area-10164,4,0
Area-10165,5,1
Area-10166,5,3
Area-10167,5,2
Area-10168,0,2
Area-10169,6,4
Area-10170,7,2
Area-10171,13,0
Area-10172,5,2
Area-10173,0,0
Area-10174,6,1
Area-10175,5,4
Area-10176,12,2
Area-10177,4,1
Area-10178,1,1
Area-10179,3,1
Area-10180,24,1
Area-10181,16,1
Area-10182,28,0
Area-10183,0,2
Area-10184,14,3
Area-10185,13,2
Area-10186,10,0
Area-10187,0,0
Area-10188,1,0
Area-10189,21,0
Area-10190,9,0
Area-10191,11,0
Area-10192,7,1
Area-10193,7,3
Area-10194,9,4
Area-10195,2,2
Area-10196,1,0
Area-10197,5,1
Area-10198,16,2
Area-10199,3,0
Area-10200,12,0
Area-10201,4,0
Area-10202,1,3
Area-10203,0,1
Area-10204,8,0
Area-10205,17,0
Area-10206,1,1
Area-10207,0,2
Area-10208,0,0
Area-10209,0,1
Area-10210,0,0
Area-10211,13,0
Area-10212,0,0
Area-10213,0,1
