id_5cell,n_crashes,n_parks_rec_properties
Area-8394,1,0
Area-8395,0,0
Area-8396,1,0
Area-8397,0,0
Area-8398,0,0
Area-8399,0,1
Area-8400,0,1
Area-8401,0,0
Area-8402,0,0
Area-8403,0,0
Area-8404,1,0
Area-8405,0,0
Area-8406,2,0
Area-8407,0,0
Area-8408,0,0
Area-8409,0,0
Area-8410,0,1
Area-8411,0,1
Area-8412,0,0
Area-8413,0,0
Area-8414,0,0
Area-8415,0,0
Area-8416,1,0
Area-8417,0,0
Area-8418,0,0
Area-8419,0,0
Area-8420,1,0
Area-8421,0,0
Area-8422,0,0
Area-8423,0,1
Area-8424,0,0
Area-8425,0,0
Area-8426,0,0
Area-8427,0,0
Area-8428,0,0
Area-8429,0,0
Area-8430,2,0
Area-8431,0,0
Area-8432,1,0
Area-8433,0,0
Area-8434,1,0
Area-8435,1,0
Area-8436,1,0
Area-8437,0,0
Area-8438,0,0
Area-8439,0,0
Area-8440,0,0
Area-8441,0,0
Area-8442,0,0
Area-8443,1,0
Area-8444,2,0
Area-8445,1,1
Area-8446,2,0
Area-8447,5,0
Area-8448,2,0
Area-8449,0,0
Area-8450,0,0
Area-8451,0,0
Area-8452,0,0
Area-8453,0,0
Area-8454,0,0
Area-8455,0,0
Area-8456,0,0
Area-8457,0,0
Area-8458,0,0
Area-8459,0,0
Area-8460,0,0
Area-8461,0,0
Area-8462,7,2
Area-8463,0,1
Area-8464,3,0
Area-8465,4,0
Area-8466,5,0
Area-8467,4,0
Area-8468,2,0
Area-8469,0,0
Area-8470,0,0
Area-8471,0,0
Area-8472,0,0
Area-8473,0,0
Area-8474,0,0
Area-8475,0,0
Area-8476,0,0
Area-8477,0,0
Area-8478,0,0
Area-8479,0,0
Area-8480,0,0
Area-8481,0,1
Area-8482,1,1
Area-8483,13,0
Area-8484,9,0
Area-8485,1,0
Area-8486,2,0
Area-8487,0,0
Area-8488,5,0
Area-8489,0,0
Area-8490,0,0
Area-8491,0,1
Area-8492,0,1
Area-8493,0,1
Area-8494,0,0
Area-8495,1,0
Area-8496,0,0
Area-8497,0,0
Area-8498,0,0
Area-8499,0,0
Area-8500,0,0
Area-8501,1,3
Area-8502,4,1
Area-8503,5,1
Area-8504,1,0
Area-8505,5,0
Area-8506,0,0
Area-8507,0,0
Area-8508,3,0
Area-8509,6,0
Area-8510,1,1
Area-8511,0,1
Area-8512,0,1
Area-8513,11,1
Area-8514,0,0
Area-8515,0,0
Area-8516,0,0
Area-8517,0,0
Area-8518,0,0
Area-8519,0,0
Area-8520,0,0
Area-8521,0,0
Area-8522,14,1
Area-8523,0,2
Area-8524,2,0
Area-8525,0,0
Area-8526,0,0
Area-8527,0,0
Area-8528,0,0
Area-8529,1,0
Area-8530,14,1
Area-8531,3,1
Area-8532,1,2
Area-8533,12,1
Area-8534,3,0
Area-8535,0,0
Area-8536,0,0
Area-8537,0,0
Area-8538,0,0
Area-8539,0,0
Area-8540,0,0
Area-8541,19,1
Area-8542,7,0
Area-8543,13,3
Area-8544,1,1
Area-8545,3,0
Area-8546,0,0
Area-8547,0,0
Area-8548,0,0
Area-8549,0,0
Area-8550,3,0
Area-8551,2,0
Area-8552,0,0
Area-8553,2,0
Area-8554,2,0
Area-8555,3,0
Area-8556,1,0
Area-8557,0,0
Area-8558,0,0
Area-8559,0,0
Area-8560,0,0
Area-8561,6,1
Area-8562,5,0
Area-8563,8,2
Area-8564,20,2
Area-8565,5,1
Area-8566,4,0
Area-8567,12,0
Area-8568,0,0
Area-8569,0,0
Area-8570,4,0
Area-8571,2,0
Area-8572,0,1
Area-8573,6,1
Area-8574,7,0
Area-8575,1,0
Area-8576,3,0
Area-8577,0,0
Area-8578,0,0
Area-8579,0,0
Area-8580,0,0
Area-8581,1,1
Area-8582,6,1
Area-8583,26,1
Area-8584,14,1
Area-8585,18,0
Area-8586,1,1
Area-8587,0,0
Area-8588,4,0
Area-8589,7,1
Area-8590,17,0
Area-8591,5,1
Area-8592,2,0
Area-8593,10,2
Area-8594,11,2
Area-8595,9,1
Area-8596,11,1
Area-8597,4,0
Area-8598,3,0
Area-8599,0,0
Area-8600,0,0
Area-8601,2,1
Area-8602,2,1
Area-8603,13,0
Area-8604,1,0
Area-8605,9,1
Area-8606,0,2
Area-8607,0,0
Area-8608,0,0
Area-8609,4,0
Area-8610,4,1
Area-8611,11,0
Area-8612,12,2
Area-8613,17,2
Area-8614,8,0
Area-8615,13,4
Area-8616,6,1
Area-8617,0,0
Area-8618,1,0
Area-8619,0,0
Area-8620,0,0
Area-8621,0,1
Area-8622,3,1
Area-8623,9,1
Area-8624,9,1
Area-8625,9,1
Area-8626,2,1
Area-8627,0,1
Area-8628,1,0
Area-8629,4,1
Area-8630,1,1
Area-8631,9,0
Area-8632,10,0
Area-8633,12,1
Area-8634,6,1
Area-8635,9,0
Area-8636,7,1
Area-8637,2,0
Area-8638,0,0
Area-8639,0,0
Area-8640,0,3
Area-8641,0,2
Area-8642,16,2
Area-8643,8,0
Area-8644,11,0
Area-8645,11,0
Area-8646,5,0
Area-8647,0,3
Area-8648,8,1
Area-8649,12,2
Area-8650,3,1
Area-8651,4,2
Area-8652,3,1
Area-8653,10,1
Area-8654,13,3
Area-8655,2,2
Area-8656,4,6
Area-8657,12,0
Area-8658,0,0
Area-8659,0,0
Area-8660,0,2
Area-8661,1,3
Area-8662,10,1
Area-8663,8,1
Area-8664,16,0
Area-8665,7,0
Area-8666,14,1
Area-8667,12,2
Area-8668,2,2
Area-8669,16,1
Area-8670,5,1
Area-8671,5,0
Area-8672,8,1
Area-8673,8,2
Area-8674,10,1
Area-8675,9,3
Area-8676,4,2
Area-8677,5,8
Area-8678,7,2
Area-8679,0,0
Area-8680,0,3
Area-8681,8,3
Area-8682,20,0
Area-8683,21,1
Area-8684,19,0
Area-8685,8,1
Area-8686,8,0
Area-8687,6,1
Area-8688,4,0
Area-8689,9,0
Area-8690,0,1
Area-8691,4,2
Area-8692,4,2
Area-8693,9,2
Area-8694,11,2
Area-8695,11,4
Area-8696,5,5
Area-8697,5,4
Area-8698,2,1
Area-8699,0,0
Area-8700,1,3
Area-8701,11,3
Area-8702,11,1
Area-8703,12,0
Area-8704,24,1
Area-8705,12,1
Area-8706,5,1
Area-8707,11,0
Area-8708,13,0
Area-8709,5,0
Area-8710,7,0
Area-8711,1,3
Area-8712,6,1
Area-8713,4,1
Area-8714,19,0
Area-8715,14,4
Area-8716,8,3
Area-8717,2,6
Area-8718,1,3
Area-8719,0,0
Area-8720,0,1
Area-8721,1,1
Area-8722,0,1
Area-8723,0,2
Area-8724,35,2
Area-8725,24,0
Area-8726,31,0
Area-8727,33,0
Area-8728,16,0
Area-8729,21,0
Area-8730,22,0
Area-8731,22,0
Area-8732,21,0
Area-8733,32,0
Area-8734,24,1
Area-8735,7,1
Area-8736,8,1
Area-8737,25,1
