id_5cell,n_crashes,n_parks_rec_properties
Area-8738,23,0
Area-8739,9,2
Area-8740,5,5
Area-8741,3,1
Area-8742,0,0
Area-8743,0,2
Area-8744,0,1
Area-8745,0,1
Area-8746,2,2
Area-8747,0,2
Area-8748,2,2
Area-8749,12,2
Area-8750,9,1
Area-8751,8,2
Area-8752,23,0
Area-8753,10,1
Area-8754,5,2
Area-8755,10,1
Area-8756,7,0
Area-8757,13,0
Area-8758,14,0
Area-8759,1,2
Area-8760,4,8
Area-8761,16,11
Area-8762,20,3
Area-8763,25,1
Area-8764,20,3
Area-8765,12,2
Area-8766,4,0
Area-8767,0,0
Area-8768,0,2
Area-8769,0,1
Area-8770,2,1
Area-8771,5,5
Area-8772,6,4
Area-8773,7,0
Area-8774,10,0
Area-8775,13,2
Area-8776,13,1
Area-8777,9,1
Area-8778,4,2
Area-8779,3,1
Area-8780,8,0
Area-8781,4,3
Area-8782,9,5
Area-8783,10,2
Area-8784,3,9
Area-8785,11,7
Area-8786,3,1
Area-8787,14,2
Area-8788,13,1
Area-8789,30,2
Area-8790,16,2
Area-8791,5,0
Area-8792,0,0
Area-8793,3,0
Area-8794,0,1
Area-8795,0,1
Area-8796,5,2
Area-8797,15,0
Area-8798,7,0
Area-8799,14,0
Area-8800,9,1
Area-8801,9,0
Area-8802,15,1
Area-8803,11,0
Area-8804,6,0
Area-8805,0,2
Area-8806,1,5
Area-8807,2,6
Area-8808,3,6
Area-8809,3,0
Area-8810,4,3
Area-8811,14,0
Area-8812,2,2
Area-8813,5,2
Area-8814,0,2
Area-8815,2,0
Area-8816,0,0
Area-8817,0,0
Area-8818,0,1
Area-8819,0,1
Area-8820,3,1
Area-8821,9,0
Area-8822,13,1
Area-8823,7,0
Area-8824,18,1
Area-8825,2,1
Area-8826,7,3
Area-8827,3,3
Area-8828,15,3
Area-8829,13,4
Area-8830,16,4
Area-8831,8,1
Area-8832,2,0
Area-8833,3,0
Area-8834,7,2
Area-8835,21,0
Area-8836,12,1
Area-8837,13,1
Area-8838,9,0
Area-8839,15,1
Area-8840,2,1
Area-8841,0,0
Area-8842,0,0
Area-8843,5,1
Area-8844,8,0
Area-8845,5,0
Area-8846,3,0
Area-8847,2,1
Area-8848,9,3
Area-8849,4,3
Area-8850,2,5
Area-8851,0,4
Area-8852,1,3
Area-8853,1,4
Area-8854,2,4
Area-8855,8,1
Area-8856,2,2
Area-8857,6,0
Area-8858,13,1
Area-8859,34,4
Area-8860,9,7
Area-8861,11,1
Area-8862,2,3
Area-8863,2,2
Area-8864,14,2
Area-8865,7,0
Area-8866,0,0
Area-8867,0,0
Area-8868,7,0
Area-8869,1,0
Area-8870,3,0
Area-8871,3,0
Area-8872,1,1
Area-8873,0,2
Area-8874,15,4
Area-8875,5,3
Area-8876,1,4
Area-8877,1,5
Area-8878,2,3
Area-8879,5,0
Area-8880,9,0
Area-8881,5,3
Area-8882,20,0
Area-8883,38,1
Area-8884,11,1
Area-8885,2,0
Area-8886,6,0
Area-8887,5,3
Area-8888,3,0
Area-8889,14,1
Area-8890,0,0
Area-8891,0,0
Area-8892,0,0
Area-8893,0,0
Area-8894,1,0
Area-8895,5,0
Area-8896,3,1
Area-8897,10,0
Area-8898,7,2
Area-8899,3,3
Area-8900,0,2
Area-8901,0,4
Area-8902,2,3
Area-8903,2,3
Area-8904,11,0
Area-8905,5,2
Area-8906,9,0
Area-8907,22,1
Area-8908,36,0
Area-8909,4,2
Area-8910,7,1
Area-8911,5,2
Area-8912,8,2
Area-8913,9,2
Area-8914,7,1
Area-8915,4,0
Area-8916,2,0
Area-8917,0,1
Area-8918,0,1
Area-8919,0,0
Area-8920,0,0
Area-8921,0,0
Area-8922,1,0
Area-8923,11,0
Area-8924,0,0
Area-8925,5,2
Area-8926,0,2
Area-8927,3,3
Area-8928,0,2
Area-8929,9,4
Area-8930,11,5
Area-8931,10,2
Area-8932,5,2
Area-8933,8,2
Area-8934,14,0
Area-8935,33,1
Area-8936,3,1
Area-8937,8,1
Area-8938,3,2
Area-8939,6,2
Area-8940,7,2
Area-8941,10,1
Area-8942,6,1
Area-8943,2,2
Area-8944,5,1
Area-8945,0,0
Area-8946,1,0
Area-8947,0,0
Area-8948,0,0
Area-8949,0,0
Area-8950,0,0
Area-8951,20,0
Area-8952,4,0
Area-8953,2,1
Area-8954,0,4
Area-8955,0,3
Area-8956,1,3
Area-8957,4,2
Area-8958,14,2
Area-8959,19,0
Area-8960,14,2
Area-8961,12,1
Area-8962,26,0
Area-8963,14,0
Area-8964,15,0
Area-8965,9,2
Area-8966,15,2
Area-8967,17,0
Area-8968,9,0
Area-8969,1,0
Area-8970,13,1
Area-8971,5,1
Area-8972,1,0
Area-8973,0,0
Area-8974,0,0
Area-8975,0,0
Area-8976,0,0
Area-8977,4,0
Area-8978,5,1
Area-8979,3,1
Area-8980,0,2
Area-8981,0,2
Area-8982,4,0
Area-8983,9,2
Area-8984,13,1
Area-8985,12,1
Area-8986,4,0
Area-8987,15,2
Area-8988,8,3
Area-8989,12,0
Area-8990,9,0
Area-8991,9,1
Area-8992,7,2
Area-8993,9,1
Area-8994,23,0
Area-8995,5,0
Area-8996,6,1
Area-8997,5,0
Area-8998,3,0
Area-8999,0,0
Area-9000,0,0
Area-9001,0,1
Area-9002,0,0
Area-9003,6,1
Area-9004,2,3
Area-9005,7,3
Area-9006,9,3
Area-9007,2,1
Area-9008,11,0
Area-9009,19,1
Area-9010,2,1
Area-9011,5,1
Area-9012,49,0
Area-9013,8,0
Area-9014,21,2
Area-9015,10,3
Area-9016,19,2
Area-9017,13,1
Area-9018,15,0
Area-9019,9,1
Area-9020,15,1
Area-9021,11,1
Area-9022,6,0
Area-9023,0,0
Area-9024,4,0
Area-9025,0,0
Area-9026,0,1
Area-9027,0,0
Area-9028,3,1
Area-9029,4,3
Area-9030,4,2
Area-9031,0,0
Area-9032,1,0
Area-9033,3,0
Area-9034,5,0
Area-9035,6,0
Area-9036,13,1
Area-9037,16,1
Area-9038,52,0
Area-9039,7,1
Area-9040,14,1
Area-9041,7,0
Area-9042,16,0
Area-9043,8,0
Area-9044,8,1
Area-9045,7,2
Area-9046,6,2
Area-9047,7,0
Area-9048,1,0
Area-9049,5,0
Area-9050,1,0
Area-9051,4,1
Area-9052,0,1
Area-9053,0,0
Area-9054,0,2
Area-9055,4,2
Area-9056,3,1
Area-9057,1,2
Area-9058,6,2
Area-9059,5,0
Area-9060,9,1
Area-9061,6,0
Area-9062,4,0
Area-9063,12,1
Area-9064,4,0
Area-9065,25,0
Area-9066,32,0
Area-9067,12,2
Area-9068,19,0
Area-9069,5,0
Area-9070,2,0
Area-9071,6,0
Area-9072,1,0
Area-9073,8,0
Area-9074,20,0
Area-9075,25,0
Area-9076,3,1
Area-9077,6,0
Area-9078,8,0
Area-9079,1,0
Area-9080,1,0
Area-9081,0,0
Area-9082,0,0
Area-9083,1,3
Area-9084,5,3
Area-9085,2,2
Area-9086,6,1
Area-9087,4,3
Area-9088,1,3
Area-9089,4,1
Area-9090,1,0
Area-9091,1,0
Area-9092,4,0
Area-9093,2,2
Area-9094,13,1
Area-9095,10,1
Area-9096,38,2
Area-9097,10,3
Area-9098,9,0
Area-9099,8,0
Area-9100,10,0
Area-9101,8,0
Area-9102,4,0
Area-9103,7,1
Area-9104,6,3
Area-9105,5,4
Area-9106,8,1
Area-9107,8,0
Area-9108,3,1
Area-9109,7,0
Area-9110,3,0
Area-9111,0,1
Area-9112,0,0
Area-9113,0,1
Area-9114,1,3
Area-9115,1,4
Area-9116,2,2
Area-9117,1,1
Area-9118,2,2
Area-9119,6,4
Area-9120,0,3
Area-9121,4,3
Area-9122,5,3
Area-9123,6,1
Area-9124,7,1
Area-9125,12,2
Area-9126,16,1
Area-9127,8,1
Area-9128,27,2
Area-9129,16,2
Area-9130,6,0
Area-9131,1,0
Area-9132,10,1
Area-9133,10,0
Area-9134,5,1
Area-9135,1,3
Area-9136,3,3
Area-9137,2,0
Area-9138,7,1
Area-9139,3,2
Area-9140,8,2
Area-9141,12,0
Area-9142,0,0
Area-9143,2,1
Area-9144,0,1
Area-9145,0,0
Area-9146,0,0
Area-9147,0,1
Area-9148,0,1
Area-9149,0,1
Area-9150,0,1
Area-9151,1,2
Area-9152,2,1
Area-9153,5,3
Area-9154,0,3
Area-9155,1,2
Area-9156,3,4
Area-9157,12,3
Area-9158,21,1
Area-9159,8,0
Area-9160,4,2
Area-9161,9,1
Area-9162,12,1
Area-9163,18,1
Area-9164,6,0
Area-9165,7,0
Area-9166,10,0
Area-9167,9,1
Area-9168,6,2
Area-9169,3,2
Area-9170,0,2
Area-9171,3,1
Area-9172,2,2
Area-9173,11,1
Area-9174,11,0
Area-9175,2,0
Area-9176,10,1
Area-9177,7,1
Area-9178,5,1
Area-9179,2,2
Area-9180,0,0
Area-9181,0,0
Area-9182,0,0
Area-9183,0,2
Area-9184,2,1
Area-9185,0,0
Area-9186,3,0
Area-9187,0,1
Area-9188,0,1
Area-9189,1,1
Area-9190,3,1
Area-9191,0,1
Area-9192,3,1
Area-9193,4,2
Area-9194,6,1
Area-9195,12,2
Area-9196,4,2
Area-9197,1,0
Area-9198,1,2
Area-9199,14,2
Area-9200,19,2
Area-9201,10,0
Area-9202,3,1
Area-9203,3,0
Area-9204,8,0
Area-9205,14,1
Area-9206,11,1
Area-9207,4,0
Area-9208,22,1
Area-9209,1,2
Area-9210,7,0
Area-9211,8,1
Area-9212,5,1
Area-9213,8,1
Area-9214,3,0
Area-9215,10,1
Area-9216,12,2
Area-9217,3,1
Area-9218,0,1
Area-9219,0,0
Area-9220,0,0
Area-9221,0,0
Area-9222,0,1
Area-9223,0,0
Area-9224,0,0
Area-9225,0,0
Area-9226,0,0
Area-9227,2,0
Area-9228,1,0
Area-9229,1,3
Area-9230,0,3
Area-9231,1,1
Area-9232,0,2
Area-9233,0,0
Area-9234,7,0
Area-9235,3,0
Area-9236,5,1
Area-9237,4,1
Area-9238,0,0
Area-9239,4,1
Area-9240,8,3
Area-9241,14,2
Area-9242,8,1
Area-9243,7,1
Area-9244,9,0
Area-9245,8,1
Area-9246,4,1
Area-9247,18,2
Area-9248,12,0
Area-9249,3,1
Area-9250,11,1
Area-9251,8,0
Area-9252,7,0
Area-9253,3,1
Area-9254,14,2
Area-9255,16,1
Area-9256,11,2
Area-9257,7,0
Area-9258,8,1
Area-9259,12,2
Area-9260,0,1
Area-9261,0,0
Area-9262,0,0
Area-9263,0,0
Area-9264,0,1
Area-9265,0,1
Area-9266,0,0
Area-9267,0,1
Area-9268,2,1
Area-9269,2,1
Area-9270,2,2
Area-9271,1,2
Area-9272,0,2
Area-9273,1,2
Area-9274,0,2
Area-9275,2,1
Area-9276,2,0
Area-9277,6,1
Area-9278,2,1
Area-9279,6,1
Area-9280,8,0
Area-9281,7,1
Area-9282,5,2
Area-9283,12,1
Area-9284,2,1
Area-9285,5,2
Area-9286,10,0
Area-9287,8,1
Area-9288,1,2
Area-9289,4,1
Area-9290,3,0
Area-9291,0,0
Area-9292,7,0
Area-9293,8,0
Area-9294,14,0
Area-9295,7,0
Area-9296,10,1
Area-9297,14,1
Area-9298,9,1
Area-9299,6,2
Area-9300,9,0
Area-9301,4,1
Area-9302,2,0
Area-9303,0,1
Area-9304,1,1
Area-9305,0,1
Area-9306,0,0
Area-9307,0,1
Area-9308,0,1
Area-9309,0,0
Area-9310,0,1
Area-9311,4,1
Area-9312,3,1
Area-9313,0,1
Area-9314,0,1
Area-9315,0,1
Area-9316,0,2
Area-9317,1,2
Area-9318,4,0
Area-9319,0,0
Area-9320,2,2
Area-9321,11,2
Area-9322,4,0
Area-9323,4,1
Area-9324,3,1
Area-9325,4,0
Area-9326,20,0
Area-9327,5,0
Area-9328,10,1
Area-9329,5,0
Area-9330,4,1
Area-9331,8,3
Area-9332,4,0
Area-9333,4,0
Area-9334,0,0
Area-9335,5,0
Area-9336,4,1
Area-9337,11,1
Area-9338,13,1
Area-9339,13,0
Area-9340,7,0
Area-9341,14,0
Area-9342,21,1
Area-9343,13,1
Area-9344,6,1
Area-9345,1,1
Area-9346,6,2
Area-9347,0,1
Area-9348,0,1
Area-9349,0,0
Area-9350,0,0
Area-9351,0,0
Area-9352,0,0
Area-9353,1,1
Area-9354,0,1
Area-9355,0,1
Area-9356,0,1
Area-9357,0,2
Area-9358,0,1
Area-9359,0,1
Area-9360,2,1
Area-9361,3,2
Area-9362,7,1
Area-9363,4,0
Area-9364,4,1
Area-9365,6,2
Area-9366,9,1
Area-9367,17,1
Area-9368,11,1
Area-9369,1,0
Area-9370,2,0
Area-9371,2,1
Area-9372,4,0
Area-9373,3,1
Area-9374,2,1
Area-9375,4,1
Area-9376,4,0
Area-9377,9,0
Area-9378,4,1
Area-9379,18,1
Area-9380,10,0
Area-9381,12,0
Area-9382,14,1
Area-9383,12,1
Area-9384,22,0
Area-9385,18,0
Area-9386,3,1
Area-9387,4,2
Area-9388,1,3
Area-9389,1,1
Area-9390,0,1
Area-9391,0,1
Area-9392,0,0
Area-9393,0,0
Area-9394,1,2
Area-9395,0,3
Area-9396,0,2
Area-9397,0,1
Area-9398,0,1
Area-9399,0,0
Area-9400,1,1
Area-9401,1,1
Area-9402,1,0
Area-9403,3,0
Area-9404,1,0
Area-9405,7,0
Area-9406,9,0
Area-9407,5,1
Area-9408,8,0
Area-9409,11,0
Area-9410,6,0
Area-9411,3,0
Area-9412,5,0
Area-9413,2,0
Area-9414,1,0
Area-9415,0,0
Area-9416,3,0
Area-9417,4,0
Area-9418,2,0
Area-9419,4,0
Area-9420,10,0
Area-9421,4,0
Area-9422,6,0
Area-9423,14,0
Area-9424,1,1
Area-9425,2,1
Area-9426,4,2
Area-9427,9,0
Area-9428,4,2
Area-9429,2,2
Area-9430,1,0
Area-9431,3,0
Area-9432,0,1
Area-9433,0,1
Area-9434,0,0
Area-9435,0,0
Area-9436,1,2
Area-9437,0,3
Area-9438,0,2
Area-9439,0,1
Area-9440,0,1
Area-9441,0,2
Area-9442,1,2
Area-9443,2,1
Area-9444,2,2
Area-9445,3,0
Area-9446,6,0
Area-9447,9,1
Area-9448,5,1
Area-9449,1,1
Area-9450,6,2
Area-9451,3,0
Area-9452,5,0
Area-9453,8,0
Area-9454,4,0
Area-9455,0,0
Area-9456,10,0
Area-9457,4,0
Area-9458,6,1
Area-9459,1,0
Area-9460,15,0
Area-9461,8,0
Area-9462,5,1
Area-9463,1,1
Area-9464,0,1
Area-9465,1,1
Area-9466,6,2
Area-9467,3,3
Area-9468,5,2
Area-9469,1,0
Area-9470,0,0
Area-9471,0,1
Area-9472,0,2
Area-9473,0,1
Area-9474,0,1
Area-9475,0,2
Area-9476,0,2
Area-9477,0,1
Area-9478,0,1
Area-9479,3,1
Area-9480,0,4
Area-9481,1,1
Area-9482,10,2
Area-9483,8,0
Area-9484,1,0
Area-9485,3,0
Area-9486,11,0
Area-9487,10,0
Area-9488,5,0
Area-9489,4,0
Area-9490,4,0
Area-9491,0,0
Area-9492,1,0
Area-9493,3,0
Area-9494,9,1
Area-9495,6,0
Area-9496,5,0
Area-9497,5,0
Area-9498,8,0
Area-9499,9,0
Area-9500,1,1
Area-9501,1,1
Area-9502,2,1
Area-9503,0,2
Area-9504,2,1
Area-9505,14,0
Area-9506,7,2
Area-9507,3,1
Area-9508,4,1
Area-9509,0,0
Area-9510,0,0
Area-9511,0,1
Area-9512,0,3
Area-9513,2,2
Area-9514,1,1
Area-9515,4,0
Area-9516,1,0
Area-9517,0,1
Area-9518,1,0
Area-9519,0,0
Area-9520,0,0
Area-9521,0,0
Area-9522,5,0
Area-9523,10,0
Area-9524,13,0
Area-9525,12,0
Area-9526,2,2
Area-9527,17,1
Area-9528,8,0
Area-9529,1,0
Area-9530,4,0
Area-9531,0,0
Area-9532,5,0
Area-9533,12,1
Area-9534,17,0
Area-9535,4,1
Area-9536,5,1
Area-9537,8,2
Area-9538,2,2
Area-9539,14,1
Area-9540,12,1
Area-9541,9,1
Area-9542,0,1
Area-9543,0,1
Area-9544,2,1
Area-9545,0,1
Area-9546,0,1
Area-9547,0,1
Area-9548,0,0
Area-9549,3,0
Area-9550,1,0
Area-9551,0,0
Area-9552,2,0
Area-9553,7,1
Area-9554,4,0
Area-9555,3,0
Area-9556,2,2
Area-9557,1,2
Area-9558,0,0
Area-9559,0,0
Area-9560,2,0
Area-9561,5,0
Area-9562,7,0
Area-9563,12,3
Area-9564,2,1
Area-9565,0,1
Area-9566,0,2
Area-9567,4,3
Area-9568,4,3
Area-9569,0,0
Area-9570,4,2
Area-9571,3,2
Area-9572,4,2
Area-9573,0,1
Area-9574,1,3
Area-9575,0,1
Area-9576,0,0
Area-9577,3,0
Area-9578,0,0
Area-9579,0,0
Area-9580,1,0
Area-9581,1,1
Area-9582,0,0
Area-9583,0,0
Area-9584,2,0
Area-9585,1,1
Area-9586,3,0
Area-9587,2,1
Area-9588,0,1
Area-9589,1,1
Area-9590,2,1
Area-9591,3,1
Area-9592,2,1
Area-9593,2,2
Area-9594,0,0
Area-9595,4,1
Area-9596,2,1
Area-9597,1,1
Area-9598,2,1
Area-9599,1,3
Area-9600,9,1
Area-9601,0,1
Area-9602,0,0
Area-9603,4,2
Area-9604,2,0
Area-9605,3,0
Area-9606,0,1
Area-9607,0,1
Area-9608,2,1
Area-9609,1,1
Area-9610,0,1
Area-9611,11,0
Area-9612,6,0
Area-9613,0,0
Area-9614,1,0
Area-9615,6,1
Area-9616,1,0
Area-9617,0,0
Area-9618,0,2
Area-9619,4,1
Area-9620,7,3
Area-9621,0,1
Area-9622,2,0
Area-9623,0,0
Area-9624,2,2
Area-9625,0,1
Area-9626,0,1
Area-9627,0,1
Area-9628,3,1
Area-9629,12,0
Area-9630,1,0
Area-9631,2,0
Area-9632,1,0
Area-9633,3,0
Area-9634,2,0
Area-9635,1,1
Area-9636,0,1
Area-9637,1,1
Area-9638,3,1
Area-9639,0,1
Area-9640,1,2
Area-9641,1,2
Area-9642,0,1
Area-9643,2,2
Area-9644,0,1
Area-9645,1,1
Area-9646,5,0
Area-9647,0,0
Area-9648,19,0
Area-9649,9,0
Area-9650,0,0
Area-9651,0,0
Area-9652,0,0
Area-9653,2,1
Area-9654,2,2
Area-9655,2,1
Area-9656,2,0
Area-9657,0,1
Area-9658,0,1
Area-9659,0,2
Area-9660,2,2
Area-9661,3,3
Area-9662,0,2
Area-9663,6,0
Area-9664,7,0
Area-9665,3,0
Area-9666,1,0
Area-9667,1,0
Area-9668,0,0
Area-9669,0,0
Area-9670,1,0
Area-9671,4,1
Area-9672,2,3
Area-9673,2,1
Area-9674,4,1
Area-9675,1,2
Area-9676,1,1
Area-9677,0,0
Area-9678,0,0
Area-9679,1,1
Area-9680,0,1
Area-9681,0,2
Area-9682,1,1
Area-9683,0,0
Area-9684,3,0
Area-9685,1,2
Area-9686,2,2
Area-9687,0,0
Area-9688,0,0
Area-9689,0,0
Area-9690,1,1
Area-9691,1,1
Area-9692,0,1
Area-9693,6,0
Area-9694,1,2
Area-9695,3,1
Area-9696,0,0
Area-9697,0,0
Area-9698,0,0
Area-9699,0,1
Area-9700,1,0
Area-9701,0,0
Area-9702,2,0
Area-9703,3,0
Area-9704,1,0
Area-9705,5,1
Area-9706,12,0
Area-9707,4,0
Area-9708,0,0
Area-9709,0,1
Area-9710,3,2
Area-9711,5,2
Area-9712,2,0
Area-9713,7,0
Area-9714,3,0
Area-9715,0,0
Area-9716,0,0
Area-9717,1,1
Area-9718,2,1
Area-9719,1,0
Area-9720,4,1
Area-9721,14,1
Area-9722,8,0
Area-9723,5,0
Area-9724,9,0
Area-9725,0,0
Area-9726,0,0
Area-9727,0,1
Area-9728,1,1
Area-9729,6,1
Area-9730,2,1
Area-9731,6,1
Area-9732,2,0
Area-9733,0,0
Area-9734,0,0
Area-9735,0,0
Area-9736,0,0
Area-9737,8,0
Area-9738,9,0
Area-9739,2,0
Area-9740,1,0
Area-9741,0,0
Area-9742,4,0
Area-9743,2,0
Area-9744,2,1
Area-9745,1,2
Area-9746,1,1
Area-9747,2,2
Area-9748,4,1
Area-9749,2,1
Area-9750,0,0
Area-9751,0,0
Area-9752,1,0
Area-9753,0,0
Area-9754,0,0
Area-9755,4,0
Area-9756,6,0
Area-9757,0,0
Area-9758,1,0
Area-9759,6,0
Area-9760,3,0
Area-9761,0,0
Area-9762,2,0
Area-9763,3,1
Area-9764,2,1
Area-9765,1,2
Area-9766,0,2
Area-9767,0,0
Area-9768,0,0
Area-9769,1,0
Area-9770,2,1
Area-9771,1,1
Area-9772,0,1
Area-9773,0,0
Area-9774,3,0
Area-9775,1,0
Area-9776,3,0
Area-9777,2,0
Area-9778,1,0
Area-9779,0,0
Area-9780,0,3
Area-9781,0,1
Area-9782,1,0
Area-9783,1,0
Area-9784,2,0
Area-9785,11,0
Area-9786,3,1
Area-9787,1,0
Area-9788,0,0
