location,transit_id,school_id
200 block bainbridge st,NA,NA
2000 block carver st,NA,NA
2000 block s 68th st,NA,NA
2100 block nfranklin st,NA,NA
2100 block n franklin st,NA,NA
2100 block gillingham st,NA,NA
2100 block s 15th st,NA,NA
2100 block w cambria st,NA,NA
2100 block w ontario st,NA,NA
2000 block e clementine st,NA,NA
200 block n gross st,NA,NA
2000 block e cambria st,NA,NA
2100 block e walnut ln,NA,NA
2100 block s 72nd st,NA,NA
2100 block w dauphin st,NA,NA
2100 block weccacoe ave,NA,NA
2100 block cheltenham ave,NA,NA
2100 block sigel st,NA,"MCDANIEL, DELAPLAINE SCHOOL"
2100 block diamond st,NA,NA
2100 block s 67th st,NA,NA
200 block n salford st,NA,NA
2100 block n 28th st,NA,NA
2100 block gould st,NA,NA
200 block n wanamaker st,NA,NA
2200 block kelly drive,NA,NA
2100 block birch st,NA,NA
2200 block s 22nd st,NA,NA
2200 block n 7th st,NA,NA
2100 block n8th st,NA,NA
2100 block shields st,NA,NA
2100 block n 4th st,NA,NA
2200 block w york st,NA,NA
200 block e indiana st,NA,NA
2200 block n 16th st,NA,NA
2200 block w ontario st,NA,NA
2200 block w lehigh ave,NA,ST MARTIN DE PORRES SCHOOL
2200 block n watts st,NA,NA
2200 block n camac st,NA,NA
2200 block n chadwick st,NA,NA
2200 block n park ave,NA,TECH FREIRE CHARTER SCHOOL
2300 block n 26th st,NA,NA
2200 block n12th st,NA,NA
2300 block nicholas st,NA,NA
2200 block sydenham st,NA,NA
2300 block cbmoore ave,NA,NA
2200 block hunting park ave,NA,NA
2300 block coral st,NA,NA
2200 block n gratz st,NA,NA
2300 block w turner st,NA,NA
200 block e wyoming ave,NA,FELTONVILLE INTERMEDIATE
2300 block n fairhill st,NA,NA
2300 block n 30th st,NA,NA
2300 block n park ave,NA,NA
200 block wolney ave,NA,NA
200 block n creighton st,NA,NA
2300 block n croskey st,NA,NA
2400 block n 19th st,NA,NA
0 block n 51st st,NA,NA
2400 block s 72nd st,NA,NA
2400 block s 22nd st,NA,GIRARD ACADEMIC MUSIC PROGRAM
2400 block wmaster st,NA,VAUX HIGH SCHOOL
2400 block w master st,NA,VAUX HIGH SCHOOL
2300 block w nicholas st,NA,NA
2300 block moore st,NA,NA
200 block n 63rd st,NA,NA
2300 block n 9th st,NA,NA
2300 block watkins st,NA,NA
2400 block w oakdale st,NA,NA
2400 block 78th ave,NA,NA
2400 block 77th ave,NA,NA
2400 block s 58th st,NA,NA
200 block e stella st,NA,NA
2400 block n clarion st,NA,NA
2400 block n colorado st,NA,NA
2500 block n 19th st,NA,NA
2500 block s robinson st,NA,NA
2500 block hobson st,NA,NA
2500 block w somerset st,NA,NA
2500 block n 2nd st,NA,NA
2500 block n alder st,NA,NA
2500 block w sergeant st,NA,NA
2400 block n garnet st,NA,NA
2400 block island ave,NA,NA
2400 block n delhi st,NA,NA
2500 block n mutter st,NA,NA
2500 block s 69th st,NA,NA
2500 block w lehigh ave,NA,NA
2600 block w sergeant st,NA,NA
2500 block ridge ave,NA,NA
2600 block s 61st st,NA,NA
2500 block n jessup st,NA,NA
2600 block n 5th st,NA,NA
2500 block n 18th st,NA,NA
2500 block n 31st st,NA,NA
2900 block ridge ave,NA,NA
3000 block water st,NA,NA
5900 block larchwood st,NA,NA
3300 block kensington ave,NA,NA
1800 block s 30th st,NA,NA
4700 block edmunds st,NA,NA
600 block ecornwall st,NA,NA
4900 block woodland ave,NA,NA
700 block e russell st,NA,NA
2400 block montgomery ave,NA,NA
4600 block e roosevelt blvd,NA,NA
4600 block roosevelt blvd,NA,NA
4300 block potter st,NA,NA
2700 block dickinson st,NA,NA
2900 block n 23rd st,NA,NA
1800 block huntingdon st,Market-Frankford Line - Huntingdon,NA
3200 block n broad st,Broad Street Line - Allegheny,NA
2500 block n 17th st,NA,NA
1800 block s 24th st,NA,NA
1600 block w tioga st,NA,SPRING GARDEN ACADEMY - TIOGA
4000 block lancaster ave,NA,NA
4800 block n mascher st,NA,NA
100 block e willard st,NA,NA
2700 block e somerset st,NA,NA
1200 block n 10th st,NA,NA
5600 block chester ave,NA,INDEPENDENCE CHARTER WEST
300 block e somerset st,NA,NA
1200 block w hilton st,NA,NA
2800 block snyder ave,NA,NA
1400 block s vodges st,NA,NA
1700 block s 20th st,NA,NA
1600 block w susquehanna ave,NA,NA
3100 block g st,NA,NA
2900 block kensington ave,NA,NA
2400 block n howard st,NA,NA
5700 block old second st,NA,NA
1700 block point breeze ave,NA,NA
3100 block clifford st,NA,NA
1400 block n 62nd st,NA,NA
2300 block elehigh ave,NA,NA
2800 block jasper st,NA,NA
800 block vine st,NA,NA
2900 block frankford ave,NA,NA
6300 block e wister st,NA,NA
6100 block woodland ave,NA,NA
800 block w birch st,NA,NA
2800 block d st,Market-Frankford Line - Somerset,NA
4900 block spruce st,NA,NA
2000 block e birch st,NA,NA
4500 block lancaster ave,NA,NA
6600 block dicks ave,NA,NA
2700 block wcabot st,NA,NA
1900 block w hunting park av,NA,NA
2500 block wdiamond st,NA,"DICK, WILLIAM SCHOOL"
2500 block diamond st,NA,"DICK, WILLIAM SCHOOL"
2500 block w diamond st,NA,"DICK, WILLIAM SCHOOL"
3100 block hartville st,NA,NA
5100 block haverford ave,NA,NA
1700 block church st,NA,NA
1200 block s bucknell st,NA,NA
5600 block n broad st,Broad Street Line - Olney,"GIRLS, PHILA HIGH SCHOOL FOR"
6500 block elmwood ave,NA,NA
6500 block elmwood st,NA,NA
2200 block sedgley ave,NA,NA
2200 block w sedgley ave,NA,NA
100 block s 60th st,NA,NA
6100 block callowhill st,NA,NA
400 block cheltenham ave,NA,NA
700 block e chelten ave,NA,NA
900 block brill st,NA,NA
3800 block mt vernon st,NA,NA
900 block w huntingdon st,NA,NA
6500 block paschall ave,NA,NA
2100 block e allegheny ave,NA,NA
5500 block market st,NA,NA
100 block n farson st,NA,NA
5500 block wyalusing ave,NA,NA
3500 block kensington ave,Market-Frankford Line - Tioga,NA
1600 block w nedro ave,NA,NA
600 block snyder ave,NA,NA
6200 block woodland ave,NA,NA
3300 block hartville st,NA,NA
2400 block harlan st,NA,VAUX HIGH SCHOOL
3500 block n 6th st,NA,ST VERONICA SCHOOL
300 block south st,NA,NA
1000 block wagner ave,NA,NA
1000 block s 5th st,NA,NA
2200 block wheatsheaf ln,NA,NA
2500 block w allegheny ave,NA,NA
1100 block huntingdon st,NA,HOPE PARTNERSHIP FOR EDUCATION
1100 block w huntingdon st,NA,HOPE PARTNERSHIP FOR EDUCATION
200 block e allegheny ave,NA,NA
4000 block monument rd,NA,NA
5000 block n broad st,Broad Street Line - Logan,NA
1600 block n 55th st,NA,NA
2800 block n mascher st,NA,NA
1200 block s 34th st,NA,NA
200 block w wellens st,NA,NA
3600 block n front st,NA,NA
4800 block n broad st,NA,NA
300 block w queen ln,NA,NA
4900 block w thompson st,NA,NA
6700 block woodland ave,NA,NA
5500 block summer st,NA,NA
5200 block chester ave,NA,NA
2900 block germantown ave,NA,NA
800 block e madison st,NA,NA
100 block ewyoming ave,NA,NA
4800 block westminster ave,NA,NA
3900 block n9th st,NA,NA
6600 block paschall ave,NA,NA
2300 block tasker st,NA,NA
1000 block e erie ave,NA,NA
1500 block ritner st,NA,NA
900 block reno pl,NA,NA
3300 block n front st,NA,NA
5500 block cambridge st,NA,NA
6100 block torresdale ave,NA,NA
1500 block unity st,NA,NA
1300 block n 57th st,NA,NA
5800 block larchwood ave,NA,NA
5800 block n 16th st,NA,NA
4000 block n7th st,NA,NA
1900 block e clearfield st,NA,"CONWELL, RUSSELL MIDDLE SCHOOL"
6200 block master st,NA,NA
2100 block cecil b moore ave,NA,NA
6000 block jefferson st,NA,NA
2900 block n marshall st,NA,NA
1500 block werie st,NA,NA
1500 block e cheltenham ave,NA,NA
5800 block rodman st,NA,NA
5300 block n market st,NA,NA
7700 block limekiln pk,NA,NA
5100 block arch st,NA,NA
1700 block w indiana ave,NA,NA
700 block w russell st,NA,NA
1000 block cambridge st,NA,NA
4300 block n 7th st,NA,NA
100 block n 63rd st,NA,NA
7500 block torresdale ave,NA,NA
5300 block jackson st,NA,NA
3600 block nbroad st,Broad Street Line - Erie,NA
5700 block walnut st,NA,NA
2100 block w allegheny ave,NA,NA
6200 block limeklin pk,NA,NA
100 block e washington ln,NA,NA
4100 block n 8th st,NA,NA
5200 block market st,Market-Frankford Line - 52nd,NA
4700 block old york rd,Broad Street Line - Wyoming,NA
700 block e hilton st,NA,NA
2900 block w lehigh ave,NA,NA
2100 block ridge ave,NA,NA
2900 block s christopher columbus blvd,NA,NA
5100 block lancaster ave,NA,NA
100 block w wyoming av,NA,NA
100 block w wyoming ave,NA,NA
3900 block reno st,NA,NA
4700 block w girard ave,NA,NA
6300 block frankford ave,NA,NA
2600 block s robinson st,NA,NA
1700 block tilghman st,NA,NA
1900 block n 25th st,NA,NA
2900 block n howard st,NA,"SHEPPARD, ISAAC A. SCHOOL"
2900 block nhoward st,NA,"SHEPPARD, ISAAC A. SCHOOL"
5500 block torresdale ave,NA,NA
2800 block n hope st,NA,NA
1600 block dounton st,NA,NA
5000 block germantown ave,NA,NA
1900 block w godfrey ave,NA,NA
3600 block kensington ave,NA,NA
1800 block w erie ave,NA,NA
2800 block n howard st,NA,"SHEPPARD, ISAAC A. SCHOOL"
6200 block n beechwood st,NA,NA
600 block e indiana ave,NA,NA
4200 block macalester st,NA,NA
1900 block medary ave,NA,NA
1600 block margaret st,Market-Frankford Line - Arrott Transportation Center,NA
5900 block cedar ave,NA,NA
3200 block n reese st,NA,NA
4000 block old york road,NA,NA
4000 block old york rd,NA,NA
5100 block belfield ave,NA,NA
100 block w manheim st,NA,NA
5700 block germantown ave,NA,NA
1200 block w allegheny ave,NA,NA
3200 block h st,Market-Frankford Line - Allegheny,NA
3200 block h street,Market-Frankford Line - Allegheny,NA
1000 block diamond st,NA,NA
5700 block kingsessing ave,NA,CORNERSTONE CHRISTIAN ACADEMY
2800 block island ave,NA,NA
5800 block master st,NA,GUION S BLUFORD ELEMENTARY SCHOOL
5600 block w berks st,NA,NA
1600 block w susquehanna st,NA,NA
5800 block christian st,NA,NA
1900 block e clementine st,NA,NA
1500 block n 62nd st,NA,NA
2900 block memphis st,NA,NA
3700 block n 21st st,NA,NA
6500 block wyncote ave,NA,NA
4500 block n hicks st,NA,NA
6100 block woodstock st,NA,NA
900 block e cayuga st,NA,NA
hope and nedro ave,NA,NA
1500 block s 2nd st,NA,NA
2800 block lewis st,NA,NA
1000 block w wingohocken st,NA,NA
23rd & diamond st,NA,NA
2100 block mckean st,NA,NA
200 block n ruby st,NA,NA
200 block n 55th st,NA,NA
2nd & chestnut,NA,NA
19th and master sts,NA,NA
0 block s 60th st,Market-Frankford Line - 60th,NA
21st & ellsworth st,NA,NA
5100 block marion st,NA,NA
300 block e allegheney ave,NA,NA
1500 block n conestoga st,NA,NA
3200 block moore st,NA,NA
700 block n 13th st,NA,NA
4800 block n carlisle st,NA,NA
3200 block graysferry ave,NA,NA
3800 block folsom st,NA,NA
1800 block nwoodstock st,NA,NA
700 block n 48th st,NA,MYA-MIDDLE YEARS ALTERNATIVE
2100 block point breeze ave,NA,NA
2100 block point breeze av,NA,NA
3000 block n 9th st,NA,NA
7200 block buist ave,NA,NA
7400 block buist ave,NA,NA
4900 block c street,NA,NA
4600 block locust st,NA,NA
100 block w ontario st,NA,NA
4800 block n front st,NA,NA
1400 block st lukes st,NA,NA
500 block n 16th st,NA,NA
900 block w butler st,NA,NA
900 block w bulter st,NA,NA
100 block w abbottsford ave,NA,NA
100 block callowhill st,NA,NA
5200 block chestnut st,NA,NA
4600 block pulaski ave,NA,NA
1100 block cumberland st,NA,NA
1100 block w cumberland st,NA,NA
500 block w indiana ave,NA,POTTER-THOMAS SCHOOL
1900 block n gratz st,NA,NA
2200 block n 30th st,NA,NA
800 block snyder ave,NA,NA
17th & jefferson st,NA,NA
5800 block norfolk st,NA,NA
700 block cobbs creek pkwy,NA,NA
700 block cobbs creek parkway,NA,NA
4900 block sansom st,NA,NA
500 block e westmoreland st,NA,NA
3100 block potter st,NA,NA
4200 block n 16th st,NA,NA
1000 block w somerset st,NA,NA
4th /  christain st,NA,NA
2300 block e huntingdon st,NA,NA
5700 block pulaski ave,NA,NA
22nd & dickinson st,NA,NA
3000 block n 12th st,NA,NA
1200 block n 11th st,NA,ST MALACHY SCHOOL
600 block n 53rd st,NA,NA
400 block n edgewood st,NA,NA
4500 block melrose st,NA,NA
2000 block n 63rd st,NA,NA
1200 block s front st,NA,NA
1800 block mclellan st,NA,NA
4600 block wyalusing ave,NA,QUBA INSTITUTE OF ARABIC & ISLAMIC STUDIES
4200 block leidy st,NA,INQUIRY CHARTER SCHOOL
2300 block mountain st,NA,NA
1500 block w somerville st,NA,NA
700 block mckean st,NA,NA
1500 block n edgewood st,NA,NA
2400 block moore st,NA,NA
0 block n 46th st,Market-Frankford Line - 46th,NA
1100 block w westmoreland st,NA,NA
400 block hoffman st,NA,NA
7000 block greenway ave,NA,NA
6200 block nwoodstock st,NA,IMHOTEP CHARTER SCHOOL
wagner & olney,NA,NA
3000 block n orkney st,NA,NA
500 block carpenter st,NA,NA
1500 block w duncannon st,NA,NA
1700 block w huntingdon st,NA,NA
hansberry /  knox st,NA,NA
1900 block e lippincott st,NA,NA
4500 block market st,NA,NA
1300 block blavis st,NA,NA
2000 block reese st,NA,NA
6200 block washington ave,NA,NA
5700 block n hope st,NA,NA
700 block s cecil st,NA,NA
6100 block lansdowne av,NA,NA
800 block s 55th st,NA,NA
1300 block courtland st,NA,NA
5100 block n 9th st,NA,LINDLEY ACADEMY CHARTER @ BIRNEY
5300 block chew ave,NA,NA
400 block w york st,NA,"WELSH, JOHN SCHOOL"
1000 block w lehigh ave,NA,NA
1800 block e wishart st,Market-Frankford Line - Allegheny,NA
800 block w ontario st,NA,NA
1400 block w oxford st,NA,NA
3600 block n bouvier st,NA,NA
2900 block jasper st,NA,NA
1800 block s sigel st,NA,NA
1800 block sigel st,NA,NA
2900 block hurley st,NA,NA
broad & parrish st,NA,NA
3100 block n 22nd st,NA,NA
5400 block sansom st,NA,NA
5400 block samsom st,NA,NA
hope / cambria st,NA,"SHEPPARD, ISAAC A. SCHOOL"
2900 block ruth st,NA,NA
11th & cumberland st,NA,NA
2400 block w elkhart st,NA,NA
2400 block s 64th st,NA,NA
5600 block of whitby ave,NA,NA
700 block w huntingdon st,NA,NA
6200 block harley ave,NA,NA
2900 block emerald st,NA,NA
1500 block w olney ave,NA,NA
1500 block olney ave,NA,NA
5300 block duffiel st,NA,NA
1100 block s 22nd st,NA,NA
1800 block n 33rd st,NA,NA
1400 block w cayuga st,NA,NA
5000 block knox st,NA,FITLER ACADEMICS PLUS
5800 block locust st,NA,NA
1500 block w tucker st,NA,NA
2000 block middleton st,NA,NA
5600 block w thompson st,NA,NA
6800 block musgrave st,NA,NA
300 block e phil ellena st,NA,NA
1500 block n 55th st,NA,NA
500 block s conestoga st,NA,NA
2500 block jasper st,NA,"BROWN, HENRY A. SCHOOL"
4700 block bleigh ave,NA,NA
7300 block thouron ave,NA,NA
3200 block cumberland st,NA,NA
1700 block lindenwood st,NA,NA
600 block w norris st,NA,THE U SCHOOL
2000 block cheltenham ave,NA,NA
1400 block nfirth st,NA,NA
1700 block n gratz st,NA,ALLIANCE FOR PROGRESS CHARTER SCHOOL (ANNEX)
1700 block tioga st,NA,NA
1900 block middleton st,NA,NA
5200 block poplar st,NA,NA
4500 block milnor st,NA,NA
800 block w dauphin st,NA,NA
1100 block w thompson st,NA,ST MALACHY SCHOOL
3900 block fairmount ave,NA,NA
1400 block n allison st,NA,NA
4800 block n marvine st,NA,NA
1800 block s 67th st,NA,NA
7400 block peregrine st,NA,NA
800 block nholly st,NA,NA
500 block creighton st,NA,NA
500 block n creighton st,NA,NA
200 block s saint bernard st,NA,NA
4000 block l st,NA,"HOPKINSON, FRANCIS SCHOOL"
1800 block 69th ave,NA,NA
700 block dekalb st,NA,NA
2600 block dickinson st,NA,NA
4700 block tackawanna st,NA,NA
1500 block york st,NA,NA
1500 block w york st,NA,NA
3500 block n 21st st,NA,NA
2200 block w berks st,NA,NA
6000 block walton ave,NA,NA
2200 block w firth st,NA,NA
700 block w cayuga st,NA,HUNTING PARK CHRISTIAN ACADEMY
3100 block n franklin st,NA,NA
5200 block lancastor ave,NA,NA
29th / ridgre ave,NA,NA
400 block w ontario st,NA,NA
54th & media st,NA,NA
500 block w olney ave,NA,NA
3800 block n 7th st,NA,NA
2300 block bambrey ter,NA,NA
16th & bristol st,NA,NA
1300 block belfield ave,NA,NA
22nd and cecil b moore,NA,NA
500 block w champlost st,NA,NA
1700 block n 11th st,NA,NA
3100 block ella st,NA,NA
6700 block n sydenham st,NA,NA
2500 block n sydenham st,NA,KIPP NORTH PHILADELPHIA CHARTER SCHOOL
3200 block a street,NA,NA
1500 block courtland st,NA,NA
26th & cambria st,NA,NA
1900 block wmontgomery ave,NA,NA
5200 block sansom st,NA,NA
n 2nd st  /  w chew ave,NA,NA
1700 block w olney ave,NA,NA
1800 block w olney ave,NA,NA
1800 block w 65th st,NA,MT AIRY CHRISTIAN DAY SCHOOL
2500 block w gordon st,NA,NA
5800 block boyer st,NA,NA
2900 block n orkney st,NA,NA
2900 block orkney st,NA,NA
1400 block stevens st,NA,NA
5900 block mmedia st,NA,ST ROSE OF LIMA SCHOOL
5900 block media st,NA,ST ROSE OF LIMA SCHOOL
gratz  and dauphin st,NA,NA
3100 block w huntingdon st,NA,NA
300 block w huntingdon st,NA,NA
4400 block penn st,NA,NA
600 block n 17th st,NA,NA
1900 block n vanpelt st,NA,DOUGLASS MASTERY CHARTER
300 block n simpson st,NA,NA
500 block n 53rd st,NA,NA
2100 block jackson st,NA,NA
2800 block ruth st,Market-Frankford Line - Somerset,NA
1700 block n wilton st,NA,NA
5100 block spruce st,NA,NA
1500 block n  61st st,NA,NA
500 block w westmorland st,NA,NA
3000 block a street,NA,NA
1000 block parrish st,NA,NA
3400 block n water st,NA,NA
1200 block n st bernard st,NA,NA
400 block e auburn st,NA,NA
1800 block e pike st,Market-Frankford Line - Erie-Torresdale,NA
2100 block oakford st,NA,NA
2600 block w arizona st,NA,NA
1600 block n lindenwood st,NA,NA
5400 block poplar st,NA,NA
2000 block granite st,NA,NA
1300 block of bigler st,NA,NA
1400 block ladner st,NA,NA
22nd & huntingdon st,NA,NA
4300 block frankford ave,Market-Frankford Line - Church,NA
7600 block central ave,NA,NA
100 block whansberry st,NA,NA
100 block w hansberry st,NA,NA
1400 block w fisher ave,NA,NA
2300 block orthodox st,NA,NA
6700 block n 20th st,NA,NA
6400 block dickens av,NA,ONE BRIGHT RAY-ELMWOOD CAMPUS
1500 block w seltzer st,NA,NA
600 block w tioga st,NA,ST VERONICA SCHOOL
2700 block w montgomery ave,NA,NA
2700 block montgomery ave,NA,NA
5300 block torresdale ave,NA,NA
2500 block ritner st,NA,NA
2700 block s 65th st,NA,NA
5700 block baltimore ave,NA,NA
3100 block ruth st,NA,"CONWELL, RUSSELL MIDDLE SCHOOL"
600 block wolf st,NA,NA
2200 block w clearfield st,NA,NA
4900 block keyser st,NA,NA
3900 block priscilla st,NA,NA
5600 block pemberton st,NA,NA
2700 block w york st,NA,NA
900 block w york st,NA,NA
1900 block w susquehanna ave,NA,NA
5400 block torresdale ave,NA,NA
2800 block n croskey st,NA,NA
2200 block margaret st,NA,NA
1700 block n mayland st,NA,NA
3200 block rhawn st,NA,NA
1900 block sparks st,NA,NA
0 block s dewey st,NA,NA
22nd & dauphin st,NA,NA
5100 block ranstead st,NA,NA
25th & montgomery ave,NA,NA
2700 block n 13th st,NA,NA
100 block n redfield st,NA,NA
400 block e tusculum st,NA,NA
5000 block chancellor st,NA,NA
4600 block hellerman st,NA,NA
1300 block n conestoga st,NA,NA
8600 block torresdale ave,NA,NA
5100 block henley st,NA,NA
5500 block linbergh blvd,NA,NA
5500 block lindbergh blvd,NA,NA
1400 block n 22nd st,NA,NA
1600 block n 23rd st,NA,NA
creighton & wyalusing st,NA,NA
500 block n38th st,NA,NA
0 block e duval st,NA,NA
2600 block ridge ave,NA,NA
6800 block gratz st,NA,NA
6700 block jackson st,NA,NA
3900 block market st,Market-Frankford Line - 40th,NA
67th & greenway st,NA,NA
s 67th st  & greenway av,NA,NA
5700 block elmwood st,NA,NA
5700 block hatfield st,NA,"LONGSTRETH, WILLIAM C. SCHOOL"
4900 block olive st,NA,NA
300 block e pleasant st,NA,NA
300 block pleasant st,NA,NA
2800 block jackson st,NA,NA
3200 block mcmichael st,NA,NA
2600 block elkhart st,NA,NA
2100 block n camac st,NA,NA
2600 block master st,NA,NA
1300 block w girard ave,Broad Street Line - Girard,NA
2000 block n 21st st,NA,NA
6300 block n 21st st,NA,NA
1800 block w cumberland st,NA,NA
2800 block n stillman st,NA,NA
2800 block stillman st,NA,NA
4900 block wakefield st,NA,NA
3500 block b street,NA,NA
6000 block arch st,NA,NA
100 block wduncannon st,NA,OLNEY HIGH SCHOOL
100 block w duncannon st,NA,OLNEY HIGH SCHOOL
5000 block walton st,NA,NA
5900 block n front st,NA,NA
2900 block master st,NA,NA
5800 block trinity st,NA,NA
5900 block magnolia st,NA,NA
900 block church lane,NA,NA
1800 block dauphin st,NA,NA
4100 block n 7th st,NA,NA
2100 block w montgomery av,NA,NA
2800 block w harold st,NA,NA
3000 block jasper st,NA,NA
2000 block w dauphin st,NA,NA
900 block e woodlawn ave,NA,NA
1700 block s26th st,NA,NA
3900 block kensington ave,Market-Frankford Line - Erie-Torresdale,NA
2200 block island st,NA,NA
2700 block n hutchinson st,NA,NA
5300 block oxford ave,NA,NA
5300 block georges hill dr,NA,NA
3400 block n 21st st,NA,NA
6500 block n 20th st,NA,BUILDING 21
1600 block nallison st,NA,NA
1600 block allison st,NA,NA
3800 block aramingo ave,NA,NA
1300 block n 62nd st,NA,NA
2200 block wmongomery ave,NA,NA
5200 block rodman st,NA,NA
2300 block montgomery ave,NA,NA
5600 block cherry st,NA,NA
2200 block s 10th st,NA,NA
1300 block n 11th st,NA,ST MALACHY SCHOOL
5500 block elmwood ave,NA,NA
5500 block elmwood st,NA,NA
3800 block coral st,NA,NA
1800 block n 57th st,NA,NA
3300 block n marston st,NA,NA
1500 block n 53rd st,NA,NA
6100 block sansom st,NA,NA
3100 block w norris st,NA,NA
3000 block huntingdon st,NA,NA
3000 block w huntingdon st,NA,NA
2000 block n 57th st,NA,NA
2200 block s lloyd st,NA,NA
6500 block n lambert st,NA,NA
4600 block newhall st,NA,NA
800 block n 46th st,NA,NA
2900 block stillman st,NA,NA
1300 block w york st,NA,NA
1300 block york st,NA,NA
400 block n sickels st,NA,NA
bouvier & cecil b moore,NA,ALLIANCE FOR PROGRESS CHARTER
2900 block w master st,NA,NA
5200 block thompson st,NA,NA
rising sun & olney ave,NA,NA
3000 block marshall st,NA,NA
300 block e louden st,NA,NA
15th & lehigh ave,NA,NA
15th st and lehigh ave,NA,NA
100 block s salford st,NA,NA
1700 block nnewkirk st,NA,NA
2900 block w huntingdon st,NA,NA
59th & master st,NA,NA
2100 block n 16th st,NA,"DUCKREY, TANNER SCHOOL"
3000 block w york st,NA,NA
2300 block tioga st,NA,NA
52nd & cedar ave,NA,NA
2700 block morris st,NA,NA
3100 block amber st,NA,NA
3400 block gaul st,NA,NA
1400 block w york st,NA,NA
56th & osage ave,NA,NA
5600 block osage ave,NA,NA
2000 block s 54th st,NA,NA
0 block e penn st,NA,NA
2100 block wdauphin st,NA,NA
2600 block w fletcher st,NA,NA
3900 block n broad st,NA,NA
500 block s salford st,NA,NA
1800 block e willard st,NA,NA
1900 block ewiilard st,NA,NA
100 block w logan st,NA,DEPAUL CATHOLIC SCHOOL
2000 block cottman ave,NA,NA
1800 block lippincot st,NA,NA
3800 block powelton st,NA,NA
2800 block w oxford st,NA,"KELLEY, WILLIAM D. SCHOOL"
700 block w ontario st,NA,NA
500 block e louden st,NA,NA
2900 block french st,NA,NA
1200 block n 42nd st,NA,NA
41st & parkside ave,NA,NA
6800 block gillespie st,NA,"DISSTON, HAMILTON SCHOOL"
3600 block sydenham st,NA,NA
3600 block n sydenham st,NA,NA
31st and clifford st,NA,NA
100 block w clarkson st,NA,NA
600 block brooklyn st,NA,NA
5400 block pennsgrove st,NA,NA
american & olney sts,NA,NA
2700 block jasper st,NA,NA
3300 block w york st,NA,NA
3300 block york st,NA,NA
8800 block tinicum blvd,NA,NA
8200 block bartram ave,NA,NA
2600 block w berks drive,NA,NA
2100 block e birch st,NA,NA
43rd & brown sts,NA,NA
21st & master st,NA,NA
2500 block s 7th st,NA,NA
4400 block levick st,NA,NA
1500 block womrath st,NA,NA
1700 block medary st,NA,NA
1700 block medary ave,NA,NA
5800 block angora terr,NA,NA
4700 block salem st,NA,NA
3300 block n philip st,NA,NA
2500 block n patton st,NA,NA
800 block e willard st,NA,NA
700 block w spencer st,NA,NA
4000 block dungan st,NA,"HOPKINSON, FRANCIS SCHOOL"
3000 block n front st,NA,NA
600 block s 49th st,NA,NA
1000 block appletree st,NA,NA
6900 block linmore ave,NA,NA
1100 block w susquehanna ave,NA,NA
3900 block darien st,NA,NA
200 block n felton st,NA,NA
600 block park lane,NA,NA
2900 block oakdale st,NA,NA
500 block mckean st,NA,NA
1300 block snyder ave,NA,SOUTH PHILADELPHIA HIGH SCHOOL
2500 block n 23rd st,NA,NA
1900 block w wingohocking st,NA,NA
2800 block of kensington ave,Market-Frankford Line - Somerset,NA
4700 block bingham st,NA,NA
5900 block 10th st,Broad Street Line - Fern Rock Transportation Center,NA
3700 block n9th st,NA,NA
1100 block s paxon st,NA,NA
3400 block a street,NA,NA
51st & haverford av,NA,NA
2200 block n16th st,NA,NA
2500 block w berks st,NA,NA
600 block s 56th st,NA,NA
3800 block n 8th st,NA,NA
1700 block n 56th st,NA,NA
100 block s 45th st,NA,WEST CATHOLIC PREPARATORY HIGH SCHOOL
400 block w champlost st,NA,NA
1700 block belmont st,NA,NA
2800 block w huntingdon st,NA,NA
2500 block whuntingdon t,NA,NA
1300 block wingohocking st,NA,NA
1300 block w wingohocking st,NA,NA
700 block n41st st,NA,NA
6000 block n 4th st,NA,NA
7th & tioga st,NA,NA
100 block s 47th st,NA,NA
1200 block n alden st,NA,NA
1300 block bridge st,NA,NA
1900 block gerritt st,NA,NA
3200 block mascher st,NA,NA
4700 block n 2nd st,NA,NA
w bristol  /  old york rd,NA,NA
6100 block cobbs creek parkway,NA,"ANDERSON, ADD B. SCHOOL"
n 18th st  & w oxford st,NA,"MEADE, GEN. GEORGE G. SCHOOL"
2800 block n orkney st,NA,NA
100 block w albanus st,NA,NA
5000 block keyser st,NA,FITLER ACADEMICS PLUS
6200 block chestnut st,NA,NA
7500 block lansdowne ave,NA,NA
4000 block m street,NA,NA
4200 block castor ave,NA,NA
700 block foulkrod st,NA,UNIVERSAL CREIGHTON CHARTER
3400 block kip st,NA,NA
2200 block w toronto st,NA,NA
1500 block w susquehanna ave,NA,NA
1500 block w susquehanna st,NA,NA
5200 block heston st,NA,NA
5900 block manning st,NA,NA
2100 block middleton st,NA,NA
2900 block mckean st,NA,NA
1800 block n etting st,NA,NA
800 block n 45th st,NA,NA
"2700 block ""a"" st",NA,NA
4500 block n broad st,NA,NA
1700 block n 32nd st,NA,NA
3300 block n water st,NA,NA
2200 block titan st,NA,NA
1000 block w ruscomb st,NA,NA
0 block n dewey st,NA,NA
6100 block nassau rd,NA,NA
s 72nd st  /  elmwood av,NA,NA
6500 block rising sun ave,NA,NA
1400 block warfield st,NA,NA
glenwood and york st,NA,NA
2600 block roberts ave,NA,NA
1800 block wishart st,Market-Frankford Line - Allegheny,NA
3300 block n american st,NA,NA
200 block s 61st st,NA,NA
