location,transit_id,school_id
3800 block n 9th st,NA,NA
6000 block irving st,NA,NA
4900 block whitaker ave,NA,NA
5200 block parkside ave,NA,NA
5200 block parkside av,NA,NA
100 block w berkley st,NA,NA
n 40th st  /  aspen st,NA,NA
1100 block n 63rd st,NA,NA
4700 block haverford ave,NA,NA
5100 block wlanut st,NA,NA
3400 block e street,NA,NA
1500 block catherine st,NA,UNIVERSAL INSTITUTE
1800 block hart ln,NA,NA
800 block w sedgley ave,NA,NA
800 block w segley ave,NA,NA
2800 block s 81st st,NA,NA
10th & girard ave,NA,NA
7200 block bustleton ave,NA,NA
23rd & ridge ave,NA,NA
600 block n 10th st,NA,NA
800 block brill st,NA,NA
800 block marcella st,NA,NA
2100 block n 23rd st,NA,NA
1600 block n 54th st,NA,"HESTON, EDWARD SCHOOL"
900 block filbert st,NA,NA
2700 block mutter st,NA,NA
2700 block n dover st,NA,NA
1800 block s 6th st,NA,NA
5000 block gremantown ave,NA,NA
3100 block n judson st,NA,NA
4600 block unruh ave,NA,NA
3300 block willits rd,NA,NA
1500 block w clearfield st,NA,NA
1500w clearfield st,NA,NA
6000 block haddington lane,NA,NA
1500 block pratt st,NA,NA
0 block n paxon st,Market-Frankford Line - 52nd,NA
4800 block oxford ave,NA,NA
4800 block oxford st,NA,NA
2000 block n 18th st,NA,NA
1600 block haworth st,NA,NA
6900 block rutland st,NA,NA
4100 block leidy ave,NA,NA
100 block w norris st,NA,NA
1900 block margie st,NA,NA
6900 block edmund st,NA,NA
300 block washington ave,NA,NA
3300 block n 22nd st,NA,NA
1600 block w cumberland st,NA,NA
1600 block wcumberland st,NA,NA
1600 block cumberland st,NA,NA
2800 block n park ave,NA,NA
2800 block park ave,NA,NA
6000 block torresdale ave,NA,NA
6000 block springfield ave,NA,NA
1900 block rowan st,NA,NA
2100 block haworth st,NA,NA
2000 block brill st,NA,NA
4700 block shelmire ave,NA,NA
3400 block germantown ave,NA,NA
7400 block busleton ave,NA,NA
"3200 block ""e"" st",NA,NA
6100 block w passyunk ave,NA,NA
3800 block park ave,NA,MULTI-CULTURAL ACADEMY
2100 block n lambert st,NA,NA
3500 block woodhaven road apt 621,NA,NA
1100 block adams ave,NA,NA
900 block w glenwood ave,NA,NA
500 block e cambria st,NA,NA
500 block e cambria,NA,NA
1600 block w dauphin st,NA,NA
200 block w erie ave,NA,NA
3200 block n rosehill st,NA,NA
3200 block rosehill st,NA,NA
600 block green st,NA,NA
exit cottman and bride st,NA,NA
2700 block s 66th st,NA,NA
700 block union st,NA,NA
6300 block hegerman st,NA,NA
1300 block arrott st,NA,NA
1300 block arrott st apt a-2,NA,NA
6000 block n broad st,NA,NA
100 block w york st,NA,NA
4700 block whitaker st,NA,NA
3100 block hemberger st,NA,NA
"3500 block ""i"" st",NA,NA
5900 block kingsessing ave,NA,NA
2900 block kip st,NA,NA
3500 block nmarvine st,NA,NA
1200 block e luzerne av,NA,NA
chew av & e chelten av,NA,NA
600 block w glenwood st,NA,NA
1300 block w chew ave,Broad Street Line - Olney,NA
1300 block chew ave,NA,NA
1300 block w chew av,NA,NA
70th & woodland ave,NA,NA
1000 block w nedro ave,Broad Street Line - Fern Rock Transportation Center,NA
21st & diamond st,NA,NA
3300 block f street,NA,NA
3300 block f st,NA,NA
4200 block n carlisle st,NA,NA
32nd and norris st,NA,NA
1800 block e tioga st,Market-Frankford Line - Tioga,NA
3400 block n broad st,NA,NA
3700 block n 17th st,NA,NA
1500 block saint luke street,NA,NA
3100 block tulip st,NA,NA
